time,ax,ay,az,gx,gy,gz
209776,0.06,1.68,0.3,67.35,-3.57,129.73
209936,-0.43,1.18,-0.1,-10.7,36.73,-174.9
209948,-0.17,1.14,-0.13,-20.27,4.17,-181.3
209960,-0.11,1.12,-0.19,-49.23,-31.74,-164.29
209972,-0.03,0.95,-0.07,-73.62,-58.88,-129.35
209996,0.6,1.12,0.34,-74.48,-87.35,-77.59
210008,0.84,1.57,0.25,-69.29,-108.03,-87.71
210020,1.3,1.78,0.46,-41.49,-147.23,-114.17
210032,2.17,1.69,0.58,-16.55,-155.77,-130.94
210044,2.43,1.65,0.7,-30.64,-140.04,-109.05
210056,2.36,1.48,0.72,-39.23,-103.63,-53.62
210068,2.52,1.65,0.54,-43.44,-65.04,-0.21
210080,2.34,1.45,0.54,-46.43,-31.93,25.71
210092,1.85,1.11,0.63,-40.33,-44.49,28.76
210104,1.76,0.9,0.6,-14.17,-60.53,50.77
210116,1.85,0.56,0.63,-3.99,-72.23,56.68
210128,1.79,0.37,0.67,2.66,-60.89,73.82
210140,1.64,0.26,0.55,-1.55,-30.04,92.29
210152,1.34,0.11,0.46,-11.0,-0.16,115.16
210164,1.09,-0.07,0.43,-16.0,11.61,124.73
210176,0.87,-0.19,0.48,-10.57,8.07,133.57
210188,0.73,-0.28,0.52,1.93,-6.93,137.66
210200,0.69,-0.3,0.5,17.29,-8.63,140.4
210212,0.71,-0.19,0.42,24.97,19.35,149.06
210373,1.36,0.35,0.84,234.06,141.73,180.1
210385,1.95,1.09,1.1,249.91,173.62,110.52
210397,1.84,1.4,0.9,207.6,211.43,90.59
210409,1.51,1.42,0.96,180.34,171.43,93.82
210433,1.77,1.53,1.0,163.69,29.17,117.35
210445,1.91,1.26,1.2,154.36,1.55,112.35
210457,1.99,1.24,1.11,135.71,12.1,102.84
210469,1.71,1.16,0.99,120.03,34.11,93.39
210481,1.12,1.22,0.75,100.58,47.89,90.95
210493,0.99,0.96,0.49,100.03,34.72,96.99
210505,0.79,0.8,0.25,88.21,47.16,95.04
210517,0.45,0.6,0.29,80.34,43.5,95.16
210529,0.28,0.41,0.38,84.91,20.76,95.95
210541,0.23,0.41,0.39,86.44,9.96,88.57
210553,0.17,0.33,0.3,80.16,15.27,79.73
210565,0.06,0.22,0.2,72.72,21.97,68.88
210577,-0.11,0.18,0.1,65.03,20.82,61.2
210589,-0.18,0.19,0.05,49.18,23.62,60.22
210601,-0.22,0.19,-0.02,29.43,32.46,59.06
210613,-0.28,0.22,-0.06,10.03,40.94,56.38
210625,-0.47,0.28,0.04,-10.76,27.1,47.17
210637,-0.42,0.36,0.21,-27.65,2.1,32.05
210649,-0.21,0.56,0.18,-48.75,-4.73,11.38
210806,1.07,0.81,0.9,-14.48,-81.44,-37.16
210818,1.16,0.6,0.83,-9.6,-89.85,-23.38
210830,1.14,0.41,0.69,-14.97,-70.1,-15.27
210842,0.92,0.16,0.57,-18.26,-47.6,-7.28
210866,0.56,-0.18,0.48,-2.1,-61.38,-3.8
210878,0.53,-0.25,0.44,9.55,-74.55,-5.09
210890,0.56,-0.3,0.41,19.24,-76.99,-1.43
210902,0.58,-0.33,0.38,20.95,-64.92,5.28
210914,0.69,-0.39,0.34,21.62,-41.07,16.87
210926,0.75,-0.45,0.27,23.33,-11.13,33.02
210938,0.69,-0.53,0.23,27.47,15.45,49.61
210950,0.61,-0.64,0.2,34.43,37.22,72.78
210962,0.55,-0.69,0.15,50.95,42.34,91.44
